cidade,estado,id,nome,segmento
Catarina,CE,0,Empresa 0,Confecção / Textil
Saboeiro,CE,1,Empresa 1,Confecção / Textil
Valentim Gentil,SP,2,Empresa 2,Outro
Barreirinha,AM,3,Empresa 3,Informática
Araporã,MG,4,Empresa 4,Informática
Santa Teresinha,PB,5,Empresa 5,Alimentos / Bebida
São Domingos do Prata,MG,6,Empresa 6,Alimentos / Bebida
Pilõezinhos,PB,7,Empresa 7,Informática
Conceição das Pedras,MG,8,Empresa 8,Alimentos / Bebida
Cordeiro,RJ,9,Empresa 9,Outro
Bonito,PA,10,Empresa 10,Embalagens
Assaré,CE,11,Empresa 11,Informática
Acajutiba,BA,12,Empresa 12,Alimentos / Bebida
Campos de Júlio,MT,13,Empresa 13,Cosméticos / Perfumaria / Higiene
Frei Martinho,PB,14,Empresa 14,Alimentos / Bebida
Alto Garças,MT,15,Empresa 15,Calçados
Arroio dos Ratos,RS,16,Empresa 16,Móveis
Sombrio,SC,17,Empresa 17,Brinquedos
Rinópolis,SP,18,Empresa 18,Alimentos / Bebida
Itaqui,RS,19,Empresa 19,Confecção / Textil
Riachinho,MG,20,Empresa 20,Pet-Shop
Cocalinho,MT,21,Empresa 21,Embalagens
São José do Vale do Rio Preto,RJ,22,Empresa 22,Alimentos / Bebida
Serra do Navio,AP,23,Empresa 23,Limpeza / Higiene
Varjota,CE,24,Empresa 24,Outro
Pojuca,BA,25,Empresa 25,Confecção / Textil
Potengi,CE,26,Empresa 26,Embalagens
Taipu,RN,27,Empresa 27,Informática
Barro Alto,GO,28,Empresa 28,Informática
Itajá,GO,29,Empresa 29,Cosméticos / Perfumaria / Higiene
Francisco Badaró,MG,30,Empresa 30,Confecção / Textil
Cocalinho,MT,31,Empresa 31,Áudio / Música / Som
Cristalândia,TO,32,Empresa 32,Autopeças
Arroio do Tigre,RS,33,Empresa 33,Outro
Vilhena,RO,34,Empresa 34,Outro
Inhapim,MG,35,Empresa 35,Materiais de Construção
Ceres,GO,36,Empresa 36,Materiais de Construção
Cachoeiro de Itapemirim,ES,37,Empresa 37,Outro
Santa Rita,MA,38,Empresa 38,Outro
Hidrolândia,CE,39,Empresa 39,Confecção / Textil
Brochier,RS,40,Empresa 40,Alimentos / Bebida
Brasília,DF,41,Empresa 41,Confecção / Textil
São Miguel do Anta,MG,42,Empresa 42,Alimentos / Bebida
Itamari,BA,43,Empresa 43,Autopeças
Astorga,PR,44,Empresa 44,Alimentos / Bebida
Laranjeiras do Sul,PR,45,Empresa 45,Alimentos / Bebida
Angicos,RN,46,Empresa 46,Materiais de Construção
Sarandi,PR,47,Empresa 47,Autopeças
Ponto Chique,MG,48,Empresa 48,Jóias e Bijuterias
Urubici,SC,49,Empresa 49,Informática
Arataca,BA,50,Empresa 50,Confecção / Textil
Orocó,PE,51,Empresa 51,Embalagens
Colônia do Gurguéia,PI,52,Empresa 52,Alimentos / Bebida
Cambuí,MG,53,Empresa 53,Alimentos / Bebida
Quixeramobim,CE,54,Empresa 54,Alimentos / Bebida
Serrana,SP,55,Empresa 55,Outro
Maraã,AM,56,Empresa 56,Embalagens
Itatuba,PB,57,Empresa 57,Limpeza / Higiene
Pinhão,PR,58,Empresa 58,Alimentos / Bebida
São Valério da Natividade,TO,59,Empresa 59,Alimentos / Bebida
Jambeiro,SP,60,Empresa 60,Outro
Paulista,PB,61,Empresa 61,Alimentos / Bebida
Assunção do Piauí,PI,62,Empresa 62,Alimentos / Bebida
Ipanema,MG,63,Empresa 63,Informática
Ribeirão Preto,SP,64,Empresa 64,Materiais de Construção
Franca,SP,65,Empresa 65,Móveis
Perolândia,GO,66,Empresa 66,Alimentos / Bebida
Jataúba,PE,67,Empresa 67,Cosméticos / Perfumaria / Higiene
Berilo,MG,68,Empresa 68,Cosméticos / Perfumaria / Higiene
Avelino Lopes,PI,69,Empresa 69,Alimentos / Bebida
João Dourado,BA,70,Empresa 70,Cosméticos / Perfumaria / Higiene
Venâncio Aires,RS,71,Empresa 71,Cosméticos / Perfumaria / Higiene
Santana do Araguaia,PA,72,Empresa 72,Alimentos / Bebida
São José do Calçado,ES,73,Empresa 73,Alimentos / Bebida
Muquém de São Francisco,BA,74,Empresa 74,Cosméticos / Perfumaria / Higiene
Conceição do Rio Verde,MG,75,Empresa 75,Informática
Várzea Grande,MT,76,Empresa 76,Outro
Recursolândia,TO,77,Empresa 77,Informática
Chopinzinho,PR,78,Empresa 78,Alimentos / Bebida
Saldanha Marinho,RS,79,Empresa 79,Autopeças
Jateí,MS,80,Empresa 80,Confecção / Textil
Urucuia,MG,81,Empresa 81,Alimentos / Bebida
Mimoso do Sul,ES,82,Empresa 82,Alimentos / Bebida
Aiuruoca,MG,83,Empresa 83,Informática
Santana do Seridó,RN,84,Empresa 84,Autopeças
Duas Estradas,PB,85,Empresa 85,Materiais de Construção
Caxias,MA,86,Empresa 86,Cosméticos / Perfumaria / Higiene
Barra do Ribeiro,RS,87,Empresa 87,Alimentos / Bebida
Itapicuru,BA,88,Empresa 88,Cosméticos / Perfumaria / Higiene
Colinas,MA,89,Empresa 89,Cosméticos / Perfumaria / Higiene
Bom Retiro do Sul,RS,90,Empresa 90,Cosméticos / Perfumaria / Higiene
Morro Grande,SC,91,Empresa 91,Outro
Oscar Bressane,SP,92,Empresa 92,Autopeças
Engenheiro Navarro,MG,93,Empresa 93,Utilidades
Nazareno,MG,94,Empresa 94,Embalagens
Porto de Moz,PA,95,Empresa 95,Outro
Iguatama,MG,96,Empresa 96,Informática
Água Nova,RN,97,Empresa 97,Informática
Natividade,TO,98,Empresa 98,Confecção / Textil
Palmeira,PR,99,Empresa 99,Informática
Aracatu,BA,100,Empresa 100,Alimentos / Bebida
Mato Verde,MG,101,Empresa 101,Materiais de Construção
Pirapozinho,SP,102,Empresa 102,Alimentos / Bebida
Juruena,MT,103,Empresa 103,Calçados
Jandaíra,BA,104,Empresa 104,Confecção / Textil
Tesouro,MT,105,Empresa 105,Outro
Cajazeiras,PB,106,Empresa 106,Informática
Sapezal,MT,107,Empresa 107,Confecção / Textil
Herculândia,SP,108,Empresa 108,Limpeza / Higiene
Coroados,SP,109,Empresa 109,Alimentos / Bebida
Munhoz de Melo,PR,110,Empresa 110,Materiais de Construção
Soledade,RS,111,Empresa 111,Alimentos / Bebida
Salto,SP,112,Empresa 112,Limpeza / Higiene
Planaltino,BA,113,Empresa 113,Alimentos / Bebida
Porto Rico do Maranhão,MA,114,Empresa 114,Outro
Água Nova,RN,115,Empresa 115,Confecção / Textil
Erval Velho,SC,116,Empresa 116,Informática
Gararu,SE,117,Empresa 117,Outro
Patos de Minas,MG,118,Empresa 118,Embalagens
Maracaçumé,MA,119,Empresa 119,Outro
Primeiro de Maio,PR,120,Empresa 120,Confecção / Textil
São Romão,MG,121,Empresa 121,Calçados
Ritápolis,MG,122,Empresa 122,Utilidades
Cristinápolis,SE,123,Empresa 123,Decoração / Cama / Mesa / Banho
Itaitinga,CE,124,Empresa 124,Outro
Uniflor,PR,125,Empresa 125,Alimentos / Bebida
Pacajá,PA,126,Empresa 126,Outro
São José do Peixe,PI,127,Empresa 127,Informática
Itaituba,PA,128,Empresa 128,Informática
Silveirânia,MG,129,Empresa 129,Eletrônicos / Eletrodomésticos
São Miguel das Missões,RS,130,Empresa 130,Outro
Vereda,BA,131,Empresa 131,Outro
Rondonópolis,MT,132,Empresa 132,Cosméticos / Perfumaria / Higiene
Nova Olinda do Maranhão,MA,133,Empresa 133,Cosméticos / Perfumaria / Higiene
São Francisco de Goiás,GO,134,Empresa 134,Confecção / Textil
Doutor Maurício Cardoso,RS,135,Empresa 135,Informática
Caibaté,RS,136,Empresa 136,Informática
Clementina,SP,137,Empresa 137,Alimentos / Bebida
Ingaí,MG,138,Empresa 138,Outro
Cambuci,RJ,139,Empresa 139,Eletrônicos / Eletrodomésticos
Novo Planalto,GO,140,Empresa 140,Informática
Carvalhos,MG,141,Empresa 141,Cosméticos / Perfumaria / Higiene
